,N,T,XN,f,x
441,50.0,2.0,0.5326189759350423,0.1,0.5
442,50.0,3.0,0.5484478114387378,0.1,0.5
443,50.0,4.0,0.5618085657577304,0.1,0.5
444,50.0,5.0,0.5730252297597025,0.1,0.5
445,100.0,1.0,0.5100152413850405,0.1,0.5
446,100.0,2.0,0.5222291400620809,0.1,0.5
447,100.0,3.0,0.532881087442798,0.1,0.5
448,100.0,4.0,0.5418646887098904,0.1,0.5
449,100.0,5.0,0.5494631336215131,0.1,0.5
450,200.0,1.0,0.5068529404168683,0.1,0.5
451,200.0,2.0,0.5151343959459793,0.1,0.5
452,200.0,3.0,0.5222811828150431,0.1,0.5
453,200.0,4.0,0.5282244143257693,0.1,0.5
454,200.0,5.0,0.5331721216093993,0.1,0.5
455,300.0,1.0,0.5054848981576053,0.1,0.5
456,300.0,2.0,0.5120849787390159,0.1,0.5
457,300.0,3.0,0.5177471578998473,0.1,0.5
458,300.0,4.0,0.5224181106015624,0.1,0.5
459,300.0,5.0,0.5262698369641113,0.1,0.5
460,500.0,1.0,0.5041414257993218,0.1,0.5
461,500.0,2.0,0.5091017843251859,0.1,0.5
462,500.0,3.0,0.5133268150804213,0.1,0.5
463,500.0,4.0,0.5167783720446094,0.1,0.5
464,500.0,5.0,0.5195918795761556,0.1,0.5
465,1000.0,1.0,0.502827516215976,0.1,0.5
466,1000.0,2.0,0.50619577210336,0.1,0.5
467,1000.0,3.0,0.5090383103331146,0.1,0.5
468,1000.0,4.0,0.5113314214731385,0.1,0.5
469,1000.0,5.0,0.5131729532962342,0.1,0.5
470,10.0,1.0,0.5231544575065595,0.3,0.5
471,10.0,2.0,0.5502591670708428,0.3,0.5
472,10.0,3.0,0.5689476307224528,0.3,0.5
473,10.0,4.0,0.5810723688025901,0.3,0.5
474,10.0,5.0,0.5888140187862256,0.3,0.5
475,20.0,1.0,0.5154556551384954,0.3,0.5
476,20.0,2.0,0.5355634717833319,0.3,0.5
477,20.0,3.0,0.5517582302437926,0.3,0.5
478,20.0,4.0,0.5637846651647247,0.3,0.5
479,20.0,5.0,0.5725224558426716,0.3,0.5
480,50.0,1.0,0.5086168115105861,0.3,0.5
481,50.0,2.0,0.5197406651577222,0.3,0.5
482,50.0,3.0,0.5291252069678336,0.3,0.5
483,50.0,4.0,0.536510192791252,0.3,0.5
484,50.0,5.0,0.5422221525660621,0.3,0.5
485,100.0,1.0,0.5055036280827477,0.3,0.5
486,100.0,2.0,0.5124984426433693,0.3,0.5
487,100.0,3.0,0.5182944176835098,0.3,0.5
488,100.0,4.0,0.5227516088276004,0.3,0.5
489,100.0,5.0,0.5261125448821333,0.3,0.5
490,200.0,1.0,0.5035087902558684,0.3,0.5
491,200.0,2.0,0.5079205395022331,0.3,0.5
492,200.0,3.0,0.5115173879585306,0.3,0.5
493,200.0,4.0,0.5142187140582599,0.3,0.5
494,200.0,5.0,0.5161962045714591,0.3,0.5
495,300.0,1.0,0.5026955096405723,0.3,0.5
496,300.0,2.0,0.5060683846365234,0.3,0.5
497,300.0,3.0,0.5087961234856128,0.3,0.5
498,300.0,4.0,0.5108207579571266,0.3,0.5
499,300.0,5.0,0.5122812685963479,0.3,0.5
500,500.0,1.0,0.5019332742020829,0.3,0.5
501,500.0,2.0,0.504340330487659,0.3,0.5
502,500.0,3.0,0.5062697289477062,0.3,0.5
503,500.0,4.0,0.5076833860391976,0.3,0.5
504,500.0,5.0,0.5086868664903956,0.3,0.5
505,1000.0,1.0,0.5012313419002883,0.3,0.5
506,1000.0,2.0,0.5027562751706868,0.3,0.5
507,1000.0,3.0,0.5039662872176734,0.3,0.5
508,1000.0,4.0,0.5048399232870733,0.3,0.5
