,N,T,XN,f,x,VN
200,200.0,1.0,0.5003437750164619,0.9,0.5,0.0010831977816376237
201,200.0,2.0,0.5006352549576195,0.9,0.5,0.0012296609419540359
202,300.0,1.0,0.5002337624232664,0.9,0.5,0.0007216178495403902
203,300.0,2.0,0.5004318510269639,0.9,0.5,0.0008192437562439259
204,500.0,1.0,0.5001438288450212,0.9,0.5,0.000432721126019997
205,500.0,2.0,0.5002656504553249,0.9,0.5,0.0004912826396744618
206,1000.0,1.0,0.5000744279836005,0.9,0.5,0.0002162654650531004
207,1000.0,2.0,0.5001374442310275,0.9,0.5,0.0002455377326787689
208,10.0,1.0,0.5051215977633049,1.0,0.5,0.022452601762289692
209,10.0,2.0,0.5096049724088052,1.0,0.5,0.02513877964502248
210,20.0,1.0,0.5025327331850908,1.0,0.5,0.01101889350668328
211,20.0,2.0,0.5047658713311063,1.0,0.5,0.01244168039717708
212,50.0,1.0,0.5010045537525603,1.0,0.5,0.0043567788635259785
213,50.0,2.0,0.5018839153782517,1.0,0.5,0.0049356121702553435
214,100.0,1.0,0.5005008696493168,1.0,0.5,0.0021700050553425387
215,100.0,2.0,0.5009382431302614,1.0,0.5,0.0024609942132415297
216,200.0,1.0,0.5002500845440027,1.0,0.5,0.001082914125592693
217,200.0,2.0,0.5004681981428649,1.0,0.5,0.0012287995025724865
218,300.0,1.0,0.5001666453361641,1.0,0.5,0.0007214794262962454
219,300.0,2.0,0.5003119274020582,1.0,0.5,0.0008188229499451193
220,500.0,1.0,0.500099949940348,1.0,0.5,0.0004326654260449203
221,500.0,2.0,0.5001870582986835,1.0,0.5,0.0004911130586395251
222,1000.0,1.0,0.5000499610062635,1.0,0.5,0.00021624942531778268
223,1000.0,2.0,0.5000934923779665,1.0,0.5,0.00024548879564101345
